Form,Section,Variable,Question,Answer Options,Definition,Completion Guideline
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_stissueswell,Petit gonflement des tissus,"1, oui | 0, Non | 99, Inconnu","Défini comme un gonflement douloureux du tissu interphalangien, entraînant des tensions et des douleurs lors de la flexion des doigts.",Indiquez « Oui » si le patient a vécu cela à un moment donné depuis le début de cette maladie jusqu'à sa présentation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_backpain,Maux de dos,"1, oui | 0, Non | 99, Inconnu",,
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_neckpain,Douleur au cou,"1, oui | 0, Non | 99, Inconnu",,
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_skinrash,Éruption cutanée,"1, Oui | 0, Non | 99, Inconnu","Définie comme toute modification de la peau qui affecte son apparence ou sa texture. Une éruption cutanée peut être localisée sur une partie du corps ou affecter toute la peau. Les éruptions cutanées peuvent entraîner un changement de couleur de la peau, des démangeaisons, une sensation de chaleur, des bosses, une sécheresse, des gerçures, des cloques, un gonflement et peuvent être douloureuses.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_skinrash_site,Lieu où l'éruption cutanée est apparue pour la première fois,"1, Peau, génitale | 2, Peau, non génitale | 3, Muqueuse, génitale | 4, Muqueuse, non génitale | 5, Bouche | 6, Peau périanale | 7, Rectum | 99, Inconnu | 88, Autre",Il s'agit de l'endroit où l'éruption cutanée est apparue pour la première fois.,Sélectionnez la ou les options les plus appropriées correspondant à l'endroit où l'éruption cutanée est apparue pour la première fois.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_skinrash_site_oth,Précisez l'autre lieu où l'éruption cutanée est apparue pour la première fois,,Il s'agit de l'endroit où l'éruption cutanée est apparue pour la première fois. ,"Si « Autre », précisez le premier endroit où une éruption cutanée pertinente est apparue."
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_skinrash_date,Date à laquelle l'éruption cutanée a été observée pour la première fois par le patient,,Il s'agit de la date à laquelle le patient a signalé avoir remarqué l'éruption cutanée pour la première fois.,Inscrivez la date à laquelle le patient a signalé avoir remarqué l'éruption cutanée pour la première fois (au format JJ/MM/AAAA).
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_paresthesia,Paresthésie cutanée,"1, Oui | 0, Non | 99, Inconnu","Il s'agit des sensations cutanées perçues (par exemple, froid, chaleur, picotements, pression, etc.) qui apparaissent spontanément en l'absence de stimulation.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_skinchange,Modifications de la texture de la peau,"1, Oui | 0, Non | 99, Inconnu","Il s'agit des modifications de l'aspect et du toucher de la peau, telles que la rugosité, l'irrégularité ou la présence de bosses.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_skinpallor,Pâleur de la peau,"1, Oui | 0, Non | 99, Inconnu",Il s'agit d'une pâleur anormale de la peau.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_pruritus,Démangeaisons / prurit,"1, Oui | 0, Non | 99, Inconnu",Définie comme une sensation désagréable ou intense de démangeaison qui provoque le besoin de se frotter ou de se gratter la peau pour obtenir un soulagement. Les démangeaisons sont une sensation irritante qui donne envie de se gratter la peau.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_mobilchg,Modification de la mobilité par rapport à la valeur de référence,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de la capacité du patient à marcher ou à se déplacer.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_mobile,État de la mobilité,"1, Entièrement ambulatoire | 2, Ambulatoire, mais avec une aide | 3, Alité",Il s'agit de la capacité du patient à marcher ou à se déplacer. ,Indiquez l'état de mobilité du patient au moment de la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_sleepmore,Sommeil plus long que d'habitude / léthargie / apathie / indolence,"1, Oui | 0, Non | 99, Inconnu","Il s'agit d'une somnolence excessive pendant la journée, caractérisée par une fatigue et un manque inhabituel d'énergie et de vivacité mentale, ou d'un nourrisson qui a peu d'énergie, est somnolent ou dort plus que d'habitude.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_polydipsia,Soif accrue (polydipsie),"1, Oui | 0, Non | 99, Inconnu",Il s'agit d'une soif excessive.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_irregmenstruation,Modifications des règles (règles irrégulières),"1, Oui | 0, Non | 99, Inconnu","Il s'agit de tout écart par rapport au processus normal, par exemple des saignements retardés, difficiles, abondants, peu abondants, inhabituels, etc.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_resp,Symptômes respiratoires,,Il s'agit des signes et symptômes liés au système respiratoire.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_cough,Toux,"1, Oui | 0, Non | 99, Inconnu","Il s'agit de la présence d'une toux et de ses caractéristiques. Une toux productive désigne une toux accompagnée de sécrétions expectorées (mucosités ou mucus), tandis qu'une toux non productive désigne une toux qui n'est pas accompagnée de sécrétions expectorées. L'hémoptysie désigne la présence de sang ou de crachats sanglants provenant des voies respiratoires.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_cough_type,Type de toux,"1, Non productif  | 2, Productif |3, Hémoptysie |99, Inconnu",Ceci fait référence au type de toux. Une toux productive désigne une toux accompagnée de sécrétions expectorées (flegme ou mucus).,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_coryza,Coryza,"1, oui | 0, Non | 99, Inconnu",,
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_sorethroat,Maux de gorge,"1, Oui | 0, Non | 99, Inconnu","Définie comme une sensation désagréable caractérisée par un inconfort physique (tel qu'une sensation de picotement, de pulsation ou de douleur) et perçue comme provenant de la gorge.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_rhinorrhoe,Écoulement nasal / rhinorrhée,"1, Oui | 0, Non | 99, Inconnu",Définie comme une augmentation des sécrétions muqueuses du nez.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_wheezing,Respiration sifflante,"1, Oui | 0, Non | 99, Inconnu",Définie comme un bruit respiratoire aigu résultant d'un rétrécissement ou d'une obstruction des petites voies respiratoires.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_shortbreat,Essoufflement,"1, Oui | 0, Non | 99, Inconnu","Définie comme la sensation désagréable d'une respiration difficile ou laborieuse, disproportionnée par rapport au niveau d'activité physique du patient.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_nasalcongestion,Congestion nasale,"1, Oui | 0, Non | 99, Inconnu","Définie comme une diminution de la capacité à faire passer l'air par les voies nasales, entraînant souvent une respiration par la bouche.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_chestpain,Douleur thoracique,"1, Oui | 0, Non | 99, Inconnu","Définie comme une sensation désagréable, inconfortable ou douloureuse caractérisée par un inconfort physique localisé dans la poitrine.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_sneez,Éternuements,"1, Oui | 0, Non | 99, Inconnu","Il s'agit d'une expiration soudaine, violente, spasmodique et audible par le nez et la bouche.",Indiquez « Oui » si le patient a présenté ce symptôme à un moment quelconque entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_hiccups,Le hoquet,"1, oui | 0, Non | 99, Inconnu",,
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_cvs,Symptômes cardiovasculaires,,Ce terme désigne les signes et symptômes liés au système cardiovasculaire.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_palpitations,Palpitations,"1, Oui | 0, Non | 99, Inconnu",Désigne la perception désagréable de ses propres battements cardiaques.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_git,Symptômes gastro-intestinaux,,Il s'agit des signes et symptômes liés au système gastro-intestinal.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_abdpain,Douleurs abdominales,"1, Oui | 0, Non | 99, Inconnu","Définie comme une sensation désagréable d'inconfort, de détresse ou d'agonie dans la région abdominale.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_diarrhoea,Diarrhée,"1, Oui | 0, Non | 99, Inconnu",Définie comme une augmentation anormale de la fréquence (généralement définie comme trois ou plus) des selles molles ou liquides par jour (ou plus fréquentes que la normale pour l'individu).,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_diarrhoea_num,Nombre d'épisodes de diarrhée au cours des dernières 24 heures,,Fait référence au nombre d'épisodes diarrhéiques survenus au cours des dernières 24 heures.,Indiquez le nombre d'épisodes diarrhéiques survenus au cours des dernières 24 heures.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_consti,Constipation,"1, Oui | 0, Non | 99, Inconnu",Définie comme une évacuation irrégulière et peu fréquente ou difficile des selles.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_vomit,Vomissements,"1, Oui | 0, Non | 99, Inconnu",Définie comme l'expulsion du contenu de l'estomac ou de l'intestin grêle par la bouche.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_vomit2d,Vomissements persistants ? (>=2/jour),"1, Oui | 0, Non | 99, Inconnu","Désigne des vomissements persistants, définis ici comme deux vomissements ou plus par jour.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_vomitbld,Hématémèse (vomissements de sang),"1, Oui | 0, Non | 99, Inconnu",Désigne le vomissement de sang.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_nausea,Nausées,"1, Oui | 0, Non | 99, Inconnu",Définie comme la sensation subjective désagréable et indolore que l'on va vomir immédiatement.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_anorexia,Anorexie,"1, Oui | 0, Non | 99, Inconnu",Définie comme l'absence ou la perte d'appétit.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_exsal,Salivation excessive,"1, Oui | 0, Non | 99, Inconnu","Définie comme une salivation excessive ou une sialorrhée, ce symptôme est mieux évalué par le patient lui-même.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_diffswallow,Difficultés à avaler (dysphagie),"1, Oui | 0, Non | 99, Inconnu","Définie comme une difficulté à avaler des aliments, des liquides ou de la salive.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_faecalincont,Incontinence fécale,"1, Oui | 0, Non | 99, Inconnu","Définie comme l'incapacité à contrôler volontairement les sphincters anaux, avec passage involontaire de selles et de flatulences.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_renalgut,Symptômes rénaux / génito-urinaires,,Il s'agit des signes et symptômes liés au système rénal/génito-urinaire.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_urine,Rétention urinaire,"1, Oui | 0, Non | 99, Inconnu",Définie comme l'accumulation d'urine dans la vessie en raison de l'incapacité d'uriner.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_urineincont,Incontinence urinaire,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de la perte du contrôle de la vessie ou de l'incapacité de contrôler la miction.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_polyuria,Augmentation de la miction (polyurie),"1, Oui | 0, Non | 99, Inconnu",Il s'agit d'une miction excessive ou fréquente.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_dysuria,Douleur pendant la miction (dysurie),"1, Oui | 0, Non | 99, Inconnu",Il s'agit d'une miction douloureuse ou difficile.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_dyspareunia,Rapports sexuels douloureux (dyspareunie),"1, Oui | 0, Non | 99, Inconnu",Définie comme une douleur génitale récurrente ou persistante associée aux rapports sexuels.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_heme,Symptômes hématologiques,,Il s'agit des signes et symptômes liés au système hématologique.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_haemorrhag,Saignement / hémorragie,"1, Oui | 0, Non | 99, Inconnu","Définie comme la présence de sang à un endroit où il n'est pas physiologiquement normal ou la perte de sang de la circulation, que ce soit de manière interne ou externe. Cela peut inclure l'épistaxis (saignement du nez), le saignement gingival (saignement des gencives), le saignement de toute partie du tractus gastro-intestinal (saignement gastro-intestinal) ou des voies génito-urinaires (vagin ou urètre), y compris l'hématurie. ",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_haemorrhag_sev,Saignement / hémorragie grave (nécessitant une intervention),"1, Oui | 0, Non | 99, Inconnu",Définie comme une saignement/hémorragie grave nécessitant une intervention médicale pour l'hémostase et/ou un soutien hémodynamique.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_haemorrhag_site,Précisez le(s) site(s) du saignement / de l'hémorragie,"1, Peau | 7, Pétéchies | 2, Nez | 3, Gencives | 4, Tractus gastro-intestinal | 5, Tractus urinaire | 6, Vagin | 99, Inconnu | 88, Autre(s)","Il s'agit de l'emplacement du ou des sites de saignement/hémorragie. Les pétéchies sont de petites taches rougeâtres ou violacées sur la peau ou les muqueuses résultant d'une hémorragie localisée. Le saignement nasal désigne une hémorragie localisée dans le nez. Le saignement gingival désigne une hémorragie touchant la gencive. Les saignements gastro-intestinaux (GI) désignent les hémorragies dans n'importe quel segment du tractus gastro-intestinal, de l'œsophage au rectum. Les saignements urinaires désignent les hémorragies provenant de n'importe quelle partie du système urinaire. Les saignements vaginaux désignent les hémorragies provenant du vagin, sans rapport avec les menstruations normales.",Sélectionnez la ou les options les plus appropriées correspondant à la localisation du ou des sites de saignement/hémorragie.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_haemorrhag_site_oth,Préciser les autres sites de saignement/hémorragie,,"Il s’agit de l’emplacement du ou des sites de saignement/hémorragie. Les pétéchies font référence à de petites taches rougeâtres ou violacées sur la peau ou les muqueuses résultant d'une hémorragie localisée. Le saignement de nez fait référence à une hémorragie localisée au niveau du nez. Le saignement des gencives fait référence à une hémorragie touchant la gencive. Les hémorragies gastro-intestinales (GI) font référence à une hémorragie dans n’importe quel segment du tractus gastro-intestinal, de l’œsophage au rectum. Les saignements des voies urinaires font référence à une hémorragie provenant de n’importe quelle partie du système urinaire. Les saignements vaginaux font référence à une hémorragie provenant du vagin, sans rapport avec les règles normales.",Entrez dans l'autre site
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_cns,Symptômes neurologiques,,Ce terme fait référence aux signes et symptômes liés au système neurologique.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la présentation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_headache,Maux de tête,"1, Oui | 0, Non | 99, Inconnu",Défini comme la sensation de douleur dans différentes parties de la tête.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la présentation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_headache_days,Nombre de jours avant la présentation :,,,
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_photoph,Photophobie,"1, Oui | 0, Non | 99, Inconnu",Désigne une sensibilité accrue des yeux à la lumière.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la présentation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_seizconv,Crises / convulsions,"1, Oui | 0, Non | 99, Inconnu","Défini comme une anomalie intermittente de la physiologie du système nerveux caractérisée par l'apparition transitoire de mouvements soudains, violents et irréguliers du corps, causés par une contraction involontaire des muscles due à une activité neuronale anormale, excessive ou synchrone dans le cerveau.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la présentation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_confusion,Altération de la conscience / confusion,"1, Oui | 0, Non | 99, Inconnu",Défini comme un niveau de conscience ou d'éveil différent de l'état normal du patient.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la présentation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_focweak,Faiblesse focale,"1, oui | 0, Non | 99, Inconnu",,
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_paralysis,Paralysie,"1, Oui | 0, Non | 99, Inconnu",Désigne l'incapacité de bouger ou de contrôler ses mouvements.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la présentation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_irritable,Irritabilité,"1, Oui | 0, Non | 99, Inconnu","Désigne une excitabilité anormale ou excessive qui se traduit par une colère, une irritation ou une impatience facilement déclenchées.",Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_tremor,Tremblements,"1, Oui | 0, Non | 99, Inconnu",Désigne un mouvement musculaire involontaire et oscillatoire autour d'un axe articulaire.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_diffwalk,Difficultés à marcher,"1, Oui | 0, Non | 99, Inconnu",Il s'agit de tout problème persistant lié à la marche.,Indiquez « Oui » si le patient a présenté ce symptôme à un moment quelconque entre le début de la maladie et la consultation. 
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_personality,"Changements de personnalité (incluant agitation, psychose, somnolence, insomnie, catatonie, labilité de l'humeur, altération des habitudes de sommeil et chez les enfants, nouvelle apparition d'énurésie ou d'irritabilité)","1, oui | 0, Non | 99, Inconnu",,
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_abnmov,Mouvement anormal,"1, oui | 0, Non | 99, Inconnu",,
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_abnmov_type,Spécifier:,"1, Chorée | 2, Athétose | 3, Dystonie | 4, hémiballisme | 5, Stéréotypes | 6, Dyskinésie oro-linguale | 7, tic",,
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_neurologic,Autres symptômes neurologiques,"1, Oui | 0, Non | 99, Inconnu",Désigne la présence d'une anomalie neurologique alternative non répertoriée ci-dessus.,Indiquez « Oui » si le patient présente une autre anomalie neurologique non mentionnée ci-dessus.
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_neurologic_spec,Précisez les autres symptômes neurologiques,,Désigne la présence d'une autre anomalie neurologique non répertoriée ci-dessus.,"Si « Autre », précisez l'anomalie neurologique."
présentation,SYMPTÔMES À L'ADMISSION : Indiquez si vous avez présenté ces symptômes à tout moment entre le début de la maladie et le jour de la consultation.,adsym_eye,Symptômes ophtalmologiques,,Désigne les signes et symptômes liés à l'œil.,Indiquez « Oui » si le patient a présenté ce symptôme à tout moment entre le début de la maladie et la consultation.
